ROMS-1D FORCING DATA 

LONGITUDE  -  LATITUDE 
  220.00       30.00 

SUSTR "surface u-momentum stress" "Newton meter-2" 
   -0.0123    0.0058   -0.0213   -0.0358   -0.0346   -0.0453
   -0.0533   -0.0458   -0.0375   -0.0314   -0.0212   -0.0186

SVSTR "surface v-momentum stress" "Newton meter-2" 
    0.0207    0.0087   -0.0194   -0.0240   -0.0185   -0.0266
   -0.0309   -0.0246   -0.0212   -0.0093   -0.0083    0.0092

SHFLUX "surface net heat flux" "Watts meter-2" 
 -110.8525  -77.1571  -46.3663   -7.9756   45.1072   58.3480
   44.8556   46.4971    1.1045  -57.9014 -122.6010 -132.2388

SWFLUX "surface freshwater flux (E-P)" "centimeter day-1" 
    0.1951    0.2067    0.3152    0.3814    0.3208    0.3235
    0.3715    0.3079    0.3839    0.3589    0.4218    0.3196

SST "sea surface temperature" "Celsius" 
   19.4399   18.8783   18.6545   18.8528   19.5908   20.7495
   21.7378   22.5945   23.0850   22.6639   21.6580   20.4531

DQSST "surface net heat flux sensitivity to SST" "Watts m-2 Cels-1" 
  -37.2611  -37.0656  -33.6037  -32.4888  -30.0255  -31.6535
  -34.1493  -32.7059  -32.0783  -33.6774  -35.9992  -37.7188

SWRAD "solar shortwave radiation" "Watts meter-2" 
   94.9427  125.8799  165.7624  208.7019  240.4784  246.4751
  238.3680  233.5625  201.9118  154.0135  110.6459   88.6928

UPWI "upwelling indice" "m3 s-1" 
    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000

RADSW "solar shortwave radiation" "Watts meter-2" 
   94.9427  125.8799  165.7624  208.7019  240.4784  246.4751
  238.3680  233.5625  201.9118  154.0135  110.6459   88.6928

RADLW "Downward longwave radiation" "Watts meter-2" 
  353.3147  350.1461  347.6791  348.5583  354.5712  366.1065
  374.2406  375.3887  374.8241  369.9093  362.2720  357.3673

PRATE "precipitaion rate"  "centimeter day-1" 
    0.2224    0.1944    0.1196    0.0692    0.0664    0.0602
    0.0502    0.0780    0.0577    0.1109    0.1098    0.1606

TAIR "sea level air temperature" "Celsius" 
   18.4144   17.9441   17.5801   17.8759   18.8772   20.2400
   21.2651   22.1434   22.4536   21.7521   20.3336   19.2044

RHUM "relative humidity" "fraction" 
    0.7802    0.7844    0.7534    0.7420    0.7591    0.7633
    0.7700    0.7733    0.7570    0.7574    0.7572    0.7718

UWND "zonal wind" "m/s" 
   -1.3026   -0.4820   -1.8619   -3.0602   -3.2513   -4.2679
   -5.0571   -4.5424   -3.5768   -2.9454   -1.9436   -1.5889

VWND "zonal wind" "m/s" 
    1.4876    0.7996   -1.3213   -1.7673   -1.6440   -2.5042
   -2.9550   -2.4659   -2.0492   -0.8091   -0.4157    0.7518

